Naive ['C', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'E', 'A', 'K', 'M', 'B', 'C'] 660.1799999999997 37.83
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.09
ACO ['C', 'B', 'M', 'A', 'K', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 692.7699999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'J', 'D', 'I', 'H', 'G', 'C'] 694.7999999999998 0.09
ACO ['C', 'B', 'M', 'K', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'E', 'A', 'C'] 715.71 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.09
ACO ['C', 'B', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'M', 'C'] 720.15 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.09
ACO ['C', 'B', 'M', 'A', 'K', 'E', 'F', 'L', 'D', 'J', 'H', 'I', 'G', 'C'] 703.34 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.08
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'J', 'D', 'H', 'I', 'G', 'C'] 698.5899999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'D', 'J', 'I', 'H', 'G', 'C'] 703.9799999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'H', 'I', 'G', 'C'] 663.9699999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'G', 'I', 'H', 'C'] 698.57 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.09
ACO ['C', 'B', 'M', 'K', 'G', 'I', 'H', 'D', 'J', 'L', 'F', 'E', 'A', 'C'] 719.5 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'J', 'D', 'I', 'H', 'G', 'C'] 694.7999999999998 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.09
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'I', 'H', 'D', 'J', 'L', 'F', 'G', 'C'] 719.85 0.09
