Graph      1000   2000   5000   10000
5v_graph01 100.0% 100.0% 100.0% 100.0% 
5v_graph02 23.0% 18.0% 24.0% 28.0% 
5v_graph03 100.0% 100.0% 100.0% 100.0% 
10v_graph01 100.0% 100.0% 100.0% 100.0% 
10v_graph02 100.0% 100.0% 100.0% 100.0% 
10v_graph03 0.0% 0.0% 0.0% 0.0% 
13v_graph01 23.0% 48.0% 80.0% 92.0% 
13v_graph02 93.0% 100.0% 100.0% 100.0% 
13v_graph03 5.0% 8.0% 9.0% 16.0% 
