Naive ['C', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'E', 'A', 'K', 'M', 'B', 'C'] 660.1799999999997 37.83
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'A', 'K', 'E', 'F', 'L', 'J', 'D', 'H', 'I', 'G', 'C'] 696.56 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'L', 'F', 'D', 'J', 'C'] 719.31 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'L', 'F', 'D', 'J', 'C'] 719.31 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'D', 'J', 'H', 'I', 'G', 'C'] 706.86 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'L', 'F', 'D', 'J', 'C'] 719.31 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'J', 'D', 'I', 'H', 'G', 'C'] 694.7999999999998 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'G', 'H', 'I', 'C'] 699.0 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'D', 'J', 'I', 'H', 'G', 'C'] 703.9799999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.17
ACO ['C', 'B', 'M', 'A', 'K', 'E', 'F', 'L', 'J', 'D', 'H', 'I', 'G', 'C'] 696.56 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.17
ACO ['C', 'B', 'M', 'A', 'K', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 692.7699999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'K', 'M', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 703.6399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'A', 'K', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 692.7699999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'H', 'I', 'G', 'C'] 663.9699999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'H', 'I', 'G', 'C'] 663.9699999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'D', 'J', 'H', 'I', 'G', 'C'] 670.7499999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'H', 'I', 'G', 'C'] 663.9699999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'H', 'I', 'G', 'C'] 663.9699999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'G', 'H', 'I', 'C'] 699.0 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'L', 'F', 'D', 'J', 'C'] 719.31 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'J', 'D', 'I', 'H', 'G', 'C'] 694.7999999999998 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'E', 'A', 'K', 'C'] 675.84 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'D', 'J', 'H', 'I', 'G', 'C'] 706.86 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'H', 'I', 'G', 'C'] 663.9699999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'H', 'I', 'G', 'C'] 663.9699999999999 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'J', 'D', 'I', 'H', 'G', 'C'] 694.7999999999998 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.17
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.18
