Naive ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999996 73.06
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.19
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.17
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'F', 'M', 'A', 'H', 'B', 'J'] 678.0400000000001 0.17
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.17
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.17
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.17
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.17
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'F', 'A', 'M', 'H', 'B', 'J'] 675.49 0.17
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'D', 'L', 'J'] 677.5899999999999 0.17
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.17
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.17
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.17
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'E', 'I', 'A', 'M', 'H', 'F', 'B', 'J'] 665.2900000000001 0.17
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'E', 'I', 'A', 'M', 'H', 'F', 'B', 'J'] 665.2900000000001 0.17
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'E', 'I', 'A', 'M', 'H', 'F', 'B', 'J'] 665.2900000000001 0.17
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.18
ACO ['J', 'A', 'M', 'H', 'B', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.56 0.17
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.17
