Naive ['C', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'E', 'A', 'K', 'M', 'B', 'C'] 660.1799999999997 37.83
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'D', 'J', 'I', 'H', 'G', 'C'] 703.9799999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'J', 'D', 'I', 'H', 'G', 'C'] 694.7999999999998 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'J', 'D', 'I', 'H', 'G', 'C'] 694.7999999999998 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.90
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'G', 'I', 'H', 'C'] 698.57 0.90
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.86
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'D', 'J', 'I', 'H', 'G', 'C'] 703.9799999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.86
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'J', 'D', 'I', 'H', 'G', 'C'] 694.7999999999998 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.85
ACO ['C', 'B', 'M', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'E', 'A', 'K', 'C'] 675.84 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'E', 'A', 'C'] 715.71 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'G', 'H', 'I', 'C'] 699.0 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'J', 'D', 'I', 'H', 'G', 'C'] 694.7999999999998 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'J', 'D', 'I', 'H', 'G', 'C'] 694.7999999999998 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'J', 'D', 'I', 'H', 'G', 'C'] 694.7999999999998 0.85
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.85
