Naive ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999996 73.06
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.10
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 673.6299999999999 0.09
ACO ['J', 'B', 'A', 'M', 'H', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 687.6899999999998 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'F', 'A', 'M', 'H', 'B', 'J'] 675.49 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'A', 'M', 'F', 'H', 'B', 'J'] 682.45 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'B', 'H', 'F', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.7399999999999 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'F', 'A', 'M', 'H', 'B', 'J'] 675.49 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'B', 'A', 'M', 'H', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 687.6899999999998 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'E', 'I', 'A', 'M', 'H', 'F', 'B', 'J'] 665.2900000000001 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'E', 'I', 'F', 'M', 'A', 'H', 'B', 'J'] 676.1800000000001 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'A', 'M', 'H', 'F', 'B', 'J'] 682.0 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'E', 'I', 'A', 'M', 'H', 'F', 'B', 'J'] 665.2900000000001 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'E', 'I', 'A', 'M', 'H', 'F', 'B', 'J'] 665.2900000000001 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'B', 'H', 'F', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'D', 'L', 'J'] 678.04 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'A', 'M', 'H', 'F', 'B', 'J'] 682.0 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 673.6299999999999 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'F', 'M', 'A', 'H', 'B', 'J'] 678.0400000000001 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'F', 'M', 'A', 'H', 'B', 'J'] 678.0400000000001 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'D', 'L', 'J'] 677.5899999999999 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 673.6299999999999 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'E', 'I', 'A', 'M', 'F', 'H', 'B', 'J'] 665.7400000000001 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'B', 'H', 'A', 'M', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 678.0399999999998 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'B', 'H', 'A', 'M', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 678.0399999999998 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'F', 'H', 'M', 'A', 'B', 'J'] 687.69 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'D', 'L', 'J'] 677.5899999999999 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'F', 'M', 'A', 'H', 'B', 'J'] 678.0400000000001 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'E', 'I', 'A', 'M', 'H', 'F', 'B', 'J'] 665.2900000000001 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'F', 'A', 'M', 'H', 'B', 'J'] 675.49 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'D', 'L', 'J'] 687.79 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'F', 'M', 'A', 'H', 'B', 'J'] 678.0400000000001 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.10
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 673.6299999999999 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'F', 'A', 'M', 'H', 'B', 'J'] 675.49 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'A', 'M', 'H', 'F', 'B', 'J'] 682.0 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'A', 'M', 'H', 'F', 'B', 'J'] 682.0 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'F', 'M', 'A', 'H', 'B', 'J'] 678.0400000000001 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'D', 'L', 'J'] 677.5899999999999 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'F', 'M', 'A', 'H', 'B', 'J'] 678.0400000000001 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'E', 'I', 'M', 'A', 'H', 'F', 'B', 'J'] 681.1400000000001 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'A', 'M', 'H', 'F', 'B', 'J'] 682.0 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'F', 'M', 'A', 'H', 'B', 'J'] 678.0400000000001 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'F', 'A', 'M', 'H', 'B', 'J'] 675.49 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'E', 'I', 'A', 'M', 'H', 'F', 'B', 'J'] 665.2900000000001 0.09
ACO ['J', 'L', 'D', 'C', 'K', 'G', 'E', 'I', 'A', 'M', 'H', 'F', 'B', 'J'] 677.5900000000001 0.09
