Naive ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999996 73.06
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.10
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'E', 'I', 'A', 'M', 'H', 'F', 'B', 'J'] 665.2900000000001 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.10
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 681.9999999999999 0.10
ACO ['J', 'B', 'F', 'H', 'M', 'A', 'I', 'E', 'G', 'K', 'C', 'L', 'D', 'J'] 665.2899999999998 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'E', 'I', 'F', 'A', 'M', 'H', 'B', 'J'] 673.6300000000001 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'A', 'M', 'H', 'F', 'B', 'J'] 682.0 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'M', 'A', 'F', 'H', 'B', 'J'] 692.04 0.09
ACO ['J', 'D', 'L', 'C', 'K', 'G', 'I', 'E', 'A', 'M', 'H', 'F', 'B', 'J'] 682.0 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
ACO ['J', 'B', 'H', 'M', 'A', 'F', 'E', 'I', 'G', 'K', 'C', 'L', 'D', 'J'] 675.4899999999999 0.09
